ui_label,ui_type,ui_enabled,ui_help_text,ui_form_type,ui_row_index,ui_visibility_mode,ui_choices,ui_set_default_in_new,ui_mandatory
Approved by,people,True,This field will be auto-populated when the request approved by the responsible person.,App deletion,11,"edit, view",,,
Submitter name,people,False,Current user who is submitting the request. (Auto populated and can't be changed),M365 Group deletion,1,all,,True,
Requestor name,people,True,Enter the name of the person who initiated this M365 Group deletion request.,M365 Group deletion,2,all,,True,True
Group name,choice,True,Specify the name of the Microsoft 365 group you want to delete.,M365 Group deletion,3,all,,,True
Business case,text_input_multi,True,Provide a brief explanation of the reasons for deleting the Microsoft 365 group.,M365 Group deletion,4,all,,,True
Planned deletion date,date,True,Choose the date when you plan the group to be deleted.,M365 Group deletion,5,all,,,True
Requested date,date,True,This field will be auto-populated with the date when the request was made.,M365 Group deletion,6,"edit, view",,,
Completed date,date,True,This field will be updated automatically when the request is completed.,M365 Group deletion,7,"edit, view",,,
Request ID,number,False,This field will be auto-assigned a unique ID for tracking purposes.,M365 Group deletion,8,all,,True,
Status,choice,True,This field will show the current status of the Microsoft 365 group deletion request.,M365 Group deletion,9,"edit, view","Pending Review, Under Processing, Approved, Rejected, On Hold, Completed, Cancelled, In Progress, Scheduled, Pending Approval, Awaiting Feedback, Escalated, Pending Action, Under Review, Reopened, Submitted",True,
Approved by,people,True,This field will be auto-populated when the request approved by the responsible person.,M365 Group deletion,10,"edit, view",,,
Deployment environment,choice,True,Indicate the specific environment for the deployment.,App deployment,5,all,"Development, Integration, Test, QA, Staging, UAT, Production",True,True
Group environment,choice,True,Please specify the requested Microsoft 365 Group type! What stage it will be used?,M365 Group creation,4,all,"Production, UAT, Development",False,True
Privacy,choice,True,Please specify if the new Group should be Private or Public group.,M365 Group creation,8,all,"Private, Public",True,True
